,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage
id,28795.0,9.030626865173043e+17,5.94529721388448e+17,204050.0,52371093.0,1.0899730188956293e+18,1.393915756805132e+18,1.7098858082095204e+18,0,0.0
host_id,28795.0,1988281224095729.5,5.7829989306664184e+16,57382.0,63955373.0,172147331.0,447145180.0,1.704736854722722e+18,0,0.0
latitude,28795.0,-43.555493263290316,0.07628046172606197,-43.86751,-43.5561883,-43.53241,-43.5217061,-43.41634,0,0.0
longitude,28795.0,172.66129530304397,0.09666558974465055,172.43337500975144,172.61691,172.63958,172.65997,173.0970011395678,0,0.0
price,18128.0,260.1996359223301,943.7215006477729,27.0,140.0,205.0,284.0,43654.0,10667,37.04
minimum_nights,28758.0,1.7875373809027053,5.509471286810028,1.0,1.0,1.0,2.0,365.0,37,0.13
number_of_reviews,28795.0,70.39169994790763,120.5135121020153,0.0,5.0,26.0,85.0,1584.0,0,0.0
reviews_per_month,26168.0,2.3507191990217056,2.1855657895231144,0.01,0.76,1.7,3.33,16.57,2627,9.12
calculated_host_listings_count,28795.0,58.29703073450252,188.53270954704595,1.0,1.0,3.0,47.0,1586.0,0,0.0
availability_365,28795.0,203.80479249869768,112.28297346304049,0.0,109.0,225.0,302.0,365.0,0,0.0
number_of_reviews_ltm,28795.0,18.996909185622503,23.502197625284865,0.0,2.0,10.0,27.0,185.0,0,0.0
license,0.0,,,,,,,,28795,100.0
